fr;tlt;note
1;a;
2;te;
3;mo;
4;sun;
5;chi;
6;isa;
7;mesa;
8;tsa;
9;non;
10;os;
11;nei;
12;so;
12;so;
13;soa;
14;sote;
15;sochi;
24;iko;
24;iko;
36;moso;
36;moso;
46;mosaus;
48;teso;
60;chiso;goût
72;isoso;
84;mesoso;
96;tsoso;
108;nonso;
120;osso;
à;a;
à maturité;raitzotevalti;
à proximité;corvanti;
abri;fotza;
accès;malcouet;
air;niza;
amant;milecotel;
ambre;penqua;
amour;mileco;
amoureux;milecolti;
animal;tanzaut;
antenne;tzikoza;
au/à la;su;
autre;etora;
avant;deso;
avec;mi;
banal;pilse;
banalité;pilsenot;
barbule;kerkoza;
beaucoup;sonso;
biome;tetlatzatil;provenance
bleu;zoshei;
bon;rais;
bonne chance;soso;
bonne chance;soso;
boucle d'oreille;jinderraol;
brochette;picso;
ça;dza;
café;guasole;
cantine;nonfotza;
capture;megzen;
car;rinfe;
ce;tuo;
cet;tuo;interjection
cette;tuo;
cheveux;uta;
chose;yuk;
clairière;candza;
collant;tunayitil;
colle/glu;tunayi;
collection;chenakta;
commun;palta;
connaissance;tenot;
connu;ten;
contenant;beonot;
couleur;talan;
courage;Iko;
courage;iko;
courrier;tetafol;
csotei;ksotei;
dans;ent;
de;o;
de la;ia;
des;ise;
difficile;cotimo;
difficulté;cotimotle;
diffusion;romuna;
divers;tate;
divers;teta;
du;ia;
durabilité;comoten;
durable/solide;cauran;
eau;tlu;
emballage;itzaulan;
en particulier;kitigo;
en raison de;rinfe;
endormi/fermé;ferun;
enfin;oca;
entre autres;von ise tora yuk;
enveloppe;fol;
et;e;
être fait pour;saunsoco;
éveil;matchetanot;
éveillé;mache;
exception;opiko;
exceptionnel;opikolti;
explorateur;tzekoberutel;
exploration;tzecoberunot;
fabricant;gimultel;singe lacustre
fabrication;gimulnot;
facile;piwi;
facilement;piwiset;incomptable
facilité;piwinot;
fée;fen;
fentei;fentei;
fer;kan;
feu;fo;
feuille;yonwa;
fibre;lenil;
fleur;midza;
floraison;midzanot;
frit;tchattent;
gamumu;gamumu;
garde;kiletel;
géant;gamu;
géant;gamunot;
gjeruse vizo;djeruse vizo;
grand animal;ogason;
grotte;tetla;
groupement;teta;
héliotrope;uumoxai;
héliotrope sanguin;kanelta uumoxai;
humide;tlubeo;
iel;to;
iels;oc;
inutile;danas;
inutilité;dananos;familier
inventeur;iavitel;
invention;iavina;
invention;iavinot;
je;eco;
jeune;ionio;
jeunesse;ionot;
keltza;keltza;
kwalil;kwalil;
kwika;kwika;
la;;
là-bas/ y;popal;
langue;tale;
le;;
légume;csototza;
les;;
leur;oco;
leurs;oco;
liane;vizo;
liquide;tlutil;
liquide;tlutilnot;
loin;vanti;
long;ker;
luciole;minil;
lumière;inno;
ma;ecoo;
mais;da;
manche;tiantit;
marche;berunot;
marcheur;berutel;
matin;matcheta;
maturité;raitzotevanot;
mes;ecoo;
midi;mitcheta;
moi;emo;
mon;ecoo;
monde;tzeko;
monde connu;tentzeko;
monde inconnu;kotentzeco;
mostei;mostei;
motif;pzulko;
motifs naturels sur la peau;sopzulko;
mousse;ma;
mousse luminescente;innoma;
nos;ioo;
notamment;von ise tora yuk;
notre;ioo;
nourriture;nonon;
nous;io;
on;wo;
ouïe;oratze;
outil;saunsocnot;
ouvert;mache;
oxygène;sosanniza;
paire de gants;bindega;
parce que;rinfe;
parmi;von;
partie de;kerni;
pas/non;cor;
passage entre grottes;tatetla;
peau;takwa;
période;tocmidzanot;
personne;tei;
peu;peco;
peu commun;copilse;
pied;beru;safe
pierre;xai;
pierre de vie;soxai;
plante;tzatil;
plante comestible;nichilot;
plante luminescente;innotzatil;
plantignon;tza;
plantignon amoureux;milecoteltza;
pliage;fol;
poisson;mos;
popularité;sukinot;
pour;saun;
pousse;ludzi;
pratique/rapide;csine;
précisément;kitigo;
préféré;misti;
pression;quetun;
proche;teitei;
profond;uumo;
profondeur;uumot;
protecteur;kiletel;
protecteur;kiletel;
protection;itzaulan;
protection;kilenot;
proximité;korava;
public;teisaun;
quand;tiba;
racine;muva;
racine du Monde;tzekomuva;faune et flore
rare;inema;
rareté;inemanot;
retour;tosnet;
rien;nan;
rien à tout;nan a sotera;
rouge;mera;
rouge;nua;
ruisseau;sji;
sa;too;
salissant;soltze;
sauatzal;sawatzal;
sauf;meni;
scintillant;minilti;
ses;too;
soir;inatcheta;
sol;kzo;
solidité;comoten;
soma;soma;
somatei;somatei;
somateiesque;teitil;
sommeil;feruanti;
son;too;
souvent;cora;
sûr;kel;
surtout;quetlan;
ta;iso;
tache;elta;
taletei;taletei;
temps;toc;
tent;cuit;
terre;kzo;
tes;iso;
tissu;cotelot;
tlu tzicoza;tlu tzikoza;
ton;iso;
tout;iewa;
tout;sotera;
tout d'abord;satti;
tranquille;amalti;
transport;itza;
travail;kerso;
tresse;djeru;
tressé;djeruse;
trouvaille;mezatche;
tu;isa;
turquoise;umoi;
typique;palta;
tzautan;tzautan;
tzolote;tzolot;
un;a;
une;a;
vent;uingo;
ver;mu;
vêtement;ferraize;
vie;so;
ville;amat;
ville natale;fotzatetla;
vivant;sotli;
vos;tenmo;
votre;tenmo;
vous;temne;
Zintotel;Zintotel;
j’;eco;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;liquide;
